Facility Type,Visit Date,Average Time Spent
Hospital,2026-04-01,38.67
Hospital,2026-04-01,39
Clinic,2026-03-31,38.25
Hospital,2026-03-31,58
Clinic,2026-03-31,38.5
Hospital,2026-03-30,39
Specialty Center,2026-03-30,32
Specialty Center,2026-03-30,33.33
Specialty Center,2026-03-29,36
Specialty Center,2026-03-29,33.33
Specialty Center,2026-03-28,37
Hospital,2026-03-28,47
Clinic,2026-03-28,36
Hospital,2026-03-27,34.67
Clinic,2026-03-27,38
Hospital,2026-03-27,28
Clinic,2026-03-26,19
Specialty Center,2026-03-26,45
Specialty Center,2026-03-26,49.6
